#{"t_start": 1708650299.1082132, "env_id": "MinAtar/Seaquest-v1"}
r,l,t
0.0,9,1.217174
0.0,41,1.221533
0.0,32,1.224874
0.0,25,1.227432
0.0,9,1.229123
0.0,52,1.234549
0.0,41,1.238731
0.0,8,1.23964
0.0,3,1.240697
0.0,25,1.243268
0.0,41,1.247539
0.0,9,1.248518
0.0,36,1.252869
0.0,14,1.254346
0.0,4,1.254803
0.0,55,1.260471
0.0,85,1.270689
0.0,9,1.271818
0.0,84,1.2808
0.0,6,1.281541
2.0,177,1.301611
0.0,19,1.303672
0.0,18,1.305612
0.0,49,1.31077
0.0,198,1.333191
0.0,164,1.350439
0.0,17,1.352309
0.0,9,1.353307
0.0,14,1.355534
0.0,9,1.356581
0.0,5,1.357152
0.0,4,1.357593
0.0,3,1.35854
0.0,4,1.359007
0.0,6,1.359599
0.0,11,1.360748
1.0,104,1.373116
0.0,5,1.373734
0.0,7,1.374503
0.0,6,1.375086
0.0,7,1.376426
0.0,10,1.377506
0.0,17,1.379202
0.0,5,1.379742
0.0,10,1.381439
0.0,61,1.387776
0.0,15,1.389401
0.0,33,1.392706
0.0,6,1.393958
1.0,92,1.402332
0.0,93,1.409798
1.0,78,1.415941
0.0,4,1.416806
0.0,10,1.417673
0.0,11,1.418528
0.0,51,1.422624
0.0,14,1.424236
0.0,4,1.424607
0.0,42,1.427855
0.0,66,1.434834
0.0,100,1.445991
0.0,6,1.446678
0.0,63,1.453191
0.0,3,1.453612
0.0,11,1.455405
0.0,3,1.45582
0.0,15,1.457386
0.0,140,1.473094
0.0,26,1.476411
0.0,12,1.4777
0.0,65,1.484491
0.0,20,1.486571
0.0,27,1.489957
0.0,18,1.49181
0.0,45,1.496254
0.0,21,1.498339
0.0,7,1.499899
0.0,53,1.505158
0.0,47,1.509915
1.0,104,1.520704
0.0,13,1.522716
2.0,140,1.537194
0.0,19,1.539138
0.0,19,1.541325
0.0,16,1.543658
0.0,5,1.544188
0.0,8,1.545019
0.0,32,1.548184
1.0,188,1.567456
0.0,9,1.568427
0.0,98,1.578865
0.0,30,1.581739
0.0,7,1.583056
0.0,32,1.586111
0.0,113,1.597284
0.0,6,1.597991
0.0,18,1.600374
0.0,14,1.60201
0.0,6,1.602582
0.0,20,1.604476
0.0,7,1.605649
