#{"t_start": 1708814331.907742, "env_id": "MiniGrid-DoorKey-5x5-v0"}
r,l,t
0.9028,27,106.595653
0.8992,28,106.641783
0.91,25,106.691507
0.8704,36,106.752949
0.8776,34,106.814675
0.6616,94,106.984106
0.8704,36,107.052442
0.9244,21,107.094359
0.9172,23,107.139735
0.8776,34,107.204715
0.8308,47,107.289009
0.8416,44,107.367099
0.8488,42,109.112573
0.8992,28,109.161042
0.91,25,109.211907
0.9388,17,109.240959
0.9316,19,109.272196
0.8416,44,109.350265
0.928,20,109.380593
0.8092,53,109.474192
0.9172,23,109.520001
0.946,15,109.54602
0.8596,39,109.609763
0.8344,46,109.69051
0.9388,17,109.725013
0.8416,44,109.795339
0.8776,34,109.858632
0.8344,46,109.936479
0.8488,42,110.006191
0.7948,57,110.105378
0.8596,39,110.177441
0.9532,13,110.198314
0.8848,32,110.257364
0.9064,26,110.299716
0.9532,13,110.322278
0.9424,16,110.362106
0.9028,27,110.416683
0.9208,22,110.462104
0.8812,33,110.52462
0.8416,44,110.609609
0.8848,32,110.669715
0.9316,19,110.705771
0.9568,12,110.724862
0.9244,21,110.76158
0.9424,16,110.794501
0.9244,21,110.829444
0.7876,59,110.985816
0.91,25,111.035331
0.91,25,111.078515
0.8812,33,111.138972
0.9244,21,111.173759
0.9208,22,111.221106
0.9352,18,111.256294
0.946,15,111.282493
0.9172,23,111.330668
0.8416,44,111.408541
0.7552,68,111.550303
0.8884,31,111.603698
0.9388,17,111.63909
0.802,55,111.738986
0.9208,22,111.782368
0.91,25,111.826683
0.9388,17,111.861214
0.8092,53,111.959814
0.8128,52,112.07126
0.9712,8,112.085526
0.784,60,112.19522
0.9172,23,112.236442
0.8884,31,112.296223
0.7948,57,112.401658
0.9028,27,112.449805
0.8416,44,112.530807
0.9244,21,112.568987
0.8776,34,112.636467
0.838,45,112.724789
0.9172,23,112.764925
0.9388,17,112.801906
0.8884,31,112.861689
0.9244,21,112.903443
0.9172,23,112.942704
0.8848,32,114.664475
0.8992,28,114.716823
0.7804,61,114.826672
0.8812,33,114.893761
0.9064,26,114.939737
0.8812,33,114.993213
0.7624,66,115.10936
0.8668,37,115.170126
0.91,25,115.215928
0.9352,18,115.250952
0.892,30,115.302155
0.91,25,115.350062
0.8848,32,115.406362
0.8884,31,115.46452
0.9136,24,115.511875
0.9208,22,115.567567
0.9172,23,115.628203
0.9424,16,115.662611
0.856,40,115.729173
0.8596,39,115.799655
0.8992,28,115.849935
0.9136,24,115.891174
0.8308,47,115.973024
0.9244,21,116.010816
0.9136,24,116.050759
0.946,15,116.082837
0.9352,18,116.112851
0.9316,19,116.144707
0.9136,24,116.191906
0.946,15,116.218319
0.91,25,116.257617
0.8992,28,116.311453
0.9244,21,116.346282
0.9244,21,116.381186
0.8992,28,116.435968
0.6868,87,116.601752
0.9604,11,116.626781
0.8884,31,116.682252
0.9136,24,116.734676
0.9028,27,116.784588
0.8488,42,116.866183
0.91,25,116.911393
0.9028,27,116.964643
0.8128,52,117.066939
0.9496,14,117.093626
0.8812,33,117.156073
0.802,55,117.256649
0.8884,31,117.310109
0.964,10,117.326581
0.8992,28,117.382989
0.9064,26,117.428251
0.9568,12,117.451991
0.9316,19,117.49311
0.9496,14,117.518425
0.9172,23,117.562833
0.9244,21,117.602586
0.9208,22,117.643944
0.946,15,117.677498
0.7948,57,117.785942
0.9388,17,117.816958
0.9352,18,117.857478
0.946,15,117.905926
0.946,15,117.941169
0.9316,19,117.987541
0.9496,14,118.011699
0.892,30,118.060974
0.9136,24,118.11013
0.946,15,118.13763
0.9172,23,118.17705
0.9172,23,118.222534
0.8596,39,118.288995
0.9316,19,118.328837
0.9136,24,118.370265
0.8848,32,118.431407
0.8848,32,120.095293
0.9388,17,120.129937
0.9136,24,120.180425
0.9568,12,120.209882
0.9604,11,120.242089
0.9352,18,120.283403
0.9316,19,120.323655
0.9388,17,120.356524
0.9388,17,120.383966
0.9388,17,120.411275
0.9172,23,120.455714
0.91,25,120.49805
0.9496,14,120.522942
0.9208,22,120.563396
0.8776,34,120.619088
0.9244,21,120.660824
0.9352,18,120.693155
0.8704,36,120.759578
0.91,25,120.800647
0.946,15,120.825117
0.9352,18,120.862606
0.892,30,120.910957
0.9208,22,120.946362
0.91,25,120.99544
0.9316,19,121.024676
0.8524,41,121.097661
0.9208,22,121.131897
0.8812,33,121.193357
0.892,30,121.244005
0.9208,22,121.295653
0.9424,16,121.328683
0.9424,16,121.356167
0.8992,28,121.413784
0.8884,31,121.466037
0.8848,32,121.52603
0.892,30,121.575119
0.9568,12,121.594832
0.9064,26,121.650113
0.9244,21,121.685868
0.9496,14,121.712917
0.9388,17,121.747282
0.8452,43,121.827161
0.9316,19,121.860626
0.8884,31,121.910726
